Subset 1	176	525.000	0.248
Subset 1	177	526.000	0.250
Subset 1	178	527.000	0.252
Subset 1	179	528.000	0.254
Subset 1	180	529.000	0.256
Subset 1	181	530.000	0.258
Subset 1	182	531.000	0.260
Subset 1	183	532.000	0.262
Subset 1	184	533.000	0.264
Subset 1	185	534.000	0.266
Subset 1	186	535.000	0.268
Subset 1	187	536.000	0.270
Subset 1	188	537.000	0.272
Subset 1	189	538.000	0.274
Subset 1	190	539.000	0.276
Subset 1	191	540.000	0.278
Subset 1	192	541.000	0.281
Subset 1	193	542.000	0.283
Subset 1	194	543.000	0.285
Subset 1	195	544.000	0.288
Subset 1	196	545.000	0.290
Subset 1	197	546.000	0.292
Subset 1	198	547.000	0.294
Subset 1	199	548.000	0.297
Subset 1	200	549.000	0.299
Subset 1	201	550.000	0.301
Subset 1	202	551.000	0.303
Subset 1	203	552.000	0.306
Subset 1	204	553.000	0.308
Subset 1	205	554.000	0.310
Subset 1	206	555.000	0.312
Subset 1	207	556.000	0.314
Subset 1	208	557.000	0.316
Subset 1	209	558.000	0.318
Subset 1	210	559.000	0.320
Subset 1	211	560.000	0.321
Subset 1	212	561.000	0.323
Subset 1	213	562.000	0.325
Subset 1	214	563.000	0.326
Subset 1	215	564.000	0.328
Subset 1	216	565.000	0.329
Subset 1	217	566.000	0.331
Subset 1	218	567.000	0.333
Subset 1	219	568.000	0.334
Subset 1	220	569.000	0.336
Subset 1	221	570.000	0.338
Subset 1	222	571.000	0.339
Subset 1	223	572.000	0.340
Subset 1	224	573.000	0.342
Subset 1	225	574.000	0.344
Subset 1	226	575.000	0.345
Subset 1	227	576.000	0.347
Subset 1	228	577.000	0.349
Subset 1	229	578.000	0.350
Subset 1	230	579.000	0.352
Subset 1	231	580.000	0.353
Subset 1	232	581.000	0.354
Subset 1	233	582.000	0.355
Subset 1	234	583.000	0.356
Subset 1	235	584.000	0.357
Subset 1	236	585.000	0.357
Subset 1	237	586.000	0.358
Subset 1	238	587.000	0.358
Subset 1	239	588.000	0.359
Subset 1	240	589.000	0.359
Subset 1	241	590.000	0.360
Subset 1	242	591.000	0.360
Subset 1	243	592.000	0.361
Subset 1	244	593.000	0.361
Subset 1	245	594.000	0.362
Subset 1	246	595.000	0.363
Subset 1	247	596.000	0.364
Subset 1	248	597.000	0.366
Subset 1	249	598.000	0.367
Subset 1	250	599.000	0.368
Subset 1	251	600.000	0.368
Subset 1	252	601.000	0.368
Subset 1	253	602.000	0.369
Subset 1	254	603.000	0.369
Subset 1	255	604.000	0.369
Subset 1	256	605.000	0.369
Subset 1	257	606.000	0.369
Subset 1	258	607.000	0.369
Subset 1	259	608.000	0.370
Subset 1	260	609.000	0.370
Subset 1	261	610.000	0.370
Subset 1	262	611.000	0.370
Subset 1	263	612.000	0.370
Subset 1	264	613.000	0.370
Subset 1	265	614.000	0.371
Subset 1	266	615.000	0.371
Subset 1	267	616.000	0.371
Subset 1	268	617.000	0.371
Subset 1	269	618.000	0.371
Subset 1	270	619.000	0.371
Subset 1	271	620.000	0.371
Subset 1	272	621.000	0.372
Subset 1	273	622.000	0.372
Subset 1	274	623.000	0.372
Subset 1	275	624.000	0.372
Subset 1	276	625.000	0.372
Subset 1	277	626.000	0.372
Subset 1	278	627.000	0.373
Subset 1	279	628.000	0.373
Subset 1	280	629.000	0.373
Subset 1	281	630.000	0.373
Subset 1	282	631.000	0.373
Subset 1	283	632.000	0.373
Subset 1	284	633.000	0.373
Subset 1	285	634.000	0.374
Subset 1	286	635.000	0.374
Subset 1	287	636.000	0.374
Subset 1	288	637.000	0.374
Subset 1	289	638.000	0.374
Subset 1	290	639.000	0.374
Subset 1	291	640.000	0.375
Subset 1	292	641.000	0.375
Subset 1	293	642.000	0.375
Subset 1	294	643.000	0.375
Subset 1	295	644.000	0.375
Subset 1	296	645.000	0.375
Subset 1	297	646.000	0.376
Subset 1	298	647.000	0.376
Subset 1	299	648.000	0.376
Subset 1	300	649.000	0.376
Subset 1	301	650.000	0.376
Subset 1	302	651.000	0.377
Subset 1	303	652.000	0.377
Subset 1	304	653.000	0.377
Subset 1	305	654.000	0.377
Subset 1	306	655.000	0.377
Subset 1	307	656.000	0.378
Subset 1	308	657.000	0.378
Subset 1	309	658.000	0.378
Subset 1	310	659.000	0.378
Subset 1	311	660.000	0.379
Subset 1	312	661.000	0.379
Subset 1	313	662.000	0.379
Subset 1	314	663.000	0.379
Subset 1	315	664.000	0.380
Subset 1	316	665.000	0.380
Subset 1	317	666.000	0.380
Subset 1	318	667.000	0.380
Subset 1	319	668.000	0.381
Subset 1	320	669.000	0.381
Subset 1	321	670.000	0.381
Subset 1	322	671.000	0.382
Subset 1	323	672.000	0.382
Subset 1	324	673.000	0.382
Subset 1	325	674.000	0.383
Subset 1	326	675.000	0.383
Subset 1	327	676.000	0.383
Subset 1	328	677.000	0.384
Subset 1	329	678.000	0.384
Subset 1	330	679.000	0.384
Subset 1	331	680.000	0.385
Subset 1	332	681.000	0.385
Subset 1	333	682.000	0.386
Subset 1	334	683.000	0.386
Subset 1	335	684.000	0.386
Subset 1	336	685.000	0.387
Subset 1	337	686.000	0.387
Subset 1	338	687.000	0.387
Subset 1	339	688.000	0.388
Subset 1	340	689.000	0.388
Subset 1	341	690.000	0.389
Subset 1	342	691.000	0.389
Subset 1	343	692.000	0.390
Subset 1	344	693.000	0.390
Subset 1	345	694.000	0.390
Subset 1	346	695.000	0.391
Subset 1	347	696.000	0.391
Subset 1	348	697.000	0.392
Subset 1	349	698.000	0.392
Subset 1	350	699.000	0.393
Subset 1	351	700.000	0.393
Subset 1	352	701.000	0.394
Subset 1	353	702.000	0.394
Subset 1	354	703.000	0.395
Subset 1	355	704.000	0.395
Subset 1	356	705.000	0.396
Subset 1	357	706.000	0.396
Subset 1	358	707.000	0.397
Subset 1	359	708.000	0.397
Subset 1	360	709.000	0.397
Subset 1	361	710.000	0.398
Subset 1	362	711.000	0.399
Subset 1	363	712.000	0.399
Subset 1	364	713.000	0.400
Subset 1	365	714.000	0.400
Subset 1	366	715.000	0.400
Subset 1	367	716.000	0.401
Subset 1	368	717.000	0.401
Subset 1	369	718.000	0.402
Subset 1	370	719.000	0.402
Subset 1	371	720.000	0.403
Subset 1	372	721.000	0.403
Subset 1	373	722.000	0.404
Subset 1	374	723.000	0.404
Subset 1	375	724.000	0.405
Subset 1	376	725.000	0.405
Subset 1	377	726.000	0.406
Subset 1	378	727.000	0.406
Subset 1	379	728.000	0.407
Subset 1	380	729.000	0.407
Subset 1	381	730.000	0.408
Subset 1	382	731.000	0.408
Subset 1	383	732.000	0.408
Subset 1	384	733.000	0.409
Subset 1	385	734.000	0.409
Subset 1	386	735.000	0.410
Subset 1	387	736.000	0.410
Subset 1	388	737.000	0.411
Subset 1	389	738.000	0.411
Subset 1	390	739.000	0.411
Subset 1	391	740.000	0.412
Subset 1	392	741.000	0.412
Subset 1	393	742.000	0.412
Subset 1	394	743.000	0.413
Subset 1	395	744.000	0.413
Subset 1	396	745.000	0.413
Subset 1	397	746.000	0.414
Subset 1	398	747.000	0.414
Subset 1	399	748.000	0.414
Subset 1	400	749.000	0.415
Subset 1	401	750.000	0.415
Subset 1	402	751.000	0.415
Subset 1	403	752.000	0.416
Subset 1	404	753.000	0.416
Subset 1	405	754.000	0.416
Subset 1	406	755.000	0.416
Subset 1	407	756.000	0.416
Subset 1	408	757.000	0.417
Subset 1	409	758.000	0.417
Subset 1	410	759.000	0.417
Subset 1	411	760.000	0.417
Subset 1	412	761.000	0.417
Subset 1	413	762.000	0.418
Subset 1	414	763.000	0.418
Subset 1	415	764.000	0.418
Subset 1	416	765.000	0.418
Subset 1	417	766.000	0.418
Subset 1	418	767.000	0.418
Subset 1	419	768.000	0.418
Subset 1	420	769.000	0.418
Subset 1	421	770.000	0.418
Subset 1	422	771.000	0.419
Subset 1	423	772.000	0.419
Subset 1	424	773.000	0.419
Subset 1	425	774.000	0.419
Subset 1	426	775.000	0.419
Subset 1	427	776.000	0.419
Subset 1	428	777.000	0.419
Subset 1	429	778.000	0.419
Subset 1	430	779.000	0.419
Subset 1	431	780.000	0.419
Subset 1	432	781.000	0.419
Subset 1	433	782.000	0.419
Subset 1	434	783.000	0.419
Subset 1	435	784.000	0.419
Subset 1	436	785.000	0.419
Subset 1	437	786.000	0.419
Subset 1	438	787.000	0.418
Subset 1	439	788.000	0.418
Subset 1	440	789.000	0.418
