350,0.207
351,0.208
352,0.208
353,0.207
354,0.207
355,0.207
356,0.206
357,0.205
358,0.204
359,0.204
360,0.205
361,0.205
362,0.206
363,0.208
364,0.211
365,0.212
366,0.211
367,0.211
368,0.212
369,0.212
370,0.213
371,0.214
372,0.215
373,0.215
374,0.216
375,0.219
376,0.22
377,0.221
378,0.221
379,0.222
380,0.224
381,0.225
382,0.226
383,0.226
384,0.227
385,0.228
386,0.229
387,0.23
388,0.231
389,0.231
390,0.233
391,0.234
392,0.235
393,0.235
394,0.237
395,0.238
396,0.239
397,0.24
398,0.241
399,0.241
400,0.242
401,0.243
402,0.243
403,0.244
404,0.245
405,0.246
406,0.246
407,0.247
408,0.248
409,0.249
410,0.249
411,0.25
412,0.251
413,0.252
414,0.253
415,0.253
416,0.254
417,0.255
418,0.256
419,0.257
420,0.258
421,0.259
422,0.26
423,0.261
424,0.261
425,0.262
426,0.263
427,0.265
428,0.266
429,0.267
430,0.268
431,0.269
432,0.27
433,0.272
434,0.273
435,0.274
436,0.276
437,0.277
438,0.278
439,0.279
440,0.281
441,0.282
442,0.283
443,0.285
444,0.286
445,0.287
446,0.288
447,0.289
448,0.29
449,0.291
450,0.292
451,0.293
452,0.294
453,0.295
454,0.295
455,0.296
456,0.297
457,0.298
458,0.298
459,0.299
460,0.3
461,0.3
462,0.301
463,0.302
464,0.302
465,0.303
466,0.304
467,0.304
468,0.305
469,0.305
470,0.306
471,0.307
472,0.307
473,0.308
474,0.309
475,0.31
476,0.31
477,0.311
478,0.312
479,0.313
480,0.313
481,0.314
482,0.315
483,0.316
484,0.317
485,0.318
486,0.319
487,0.32
488,0.321
489,0.322
490,0.323
491,0.324
492,0.325
493,0.327
494,0.328
495,0.329
496,0.33
497,0.331
498,0.333
499,0.334
500,0.335
501,0.336
502,0.338
503,0.339
504,0.34
505,0.342
506,0.343
507,0.344
508,0.346
509,0.347
510,0.349
511,0.35
512,0.351
513,0.353
514,0.354
515,0.355
516,0.357
517,0.358
518,0.36
519,0.361
520,0.363
521,0.364
522,0.365
523,0.367
524,0.368
525,0.37
526,0.371
527,0.373
528,0.375
529,0.376
530,0.377
531,0.379
532,0.381
533,0.382
534,0.384
535,0.385
536,0.387
537,0.388
538,0.39
539,0.391
540,0.393
541,0.394
542,0.396
543,0.397
544,0.399
545,0.4
546,0.402
547,0.403
548,0.405
549,0.406
550,0.407
551,0.409
552,0.41
553,0.412
554,0.413
555,0.415
556,0.416
557,0.418
558,0.419
559,0.421
560,0.422
561,0.424
562,0.425
563,0.426
564,0.427
565,0.428
566,0.429
567,0.431
568,0.432
569,0.434
570,0.435
571,0.436
572,0.437
573,0.438
574,0.439
575,0.44
576,0.441
577,0.442
578,0.443
579,0.444
580,0.445
581,0.446
582,0.447
583,0.448
584,0.449
585,0.45
586,0.451
587,0.452
588,0.453
589,0.454
590,0.454
591,0.455
592,0.455
593,0.455
594,0.456
595,0.457
596,0.458
597,0.459
598,0.46
599,0.462
600,0.463
601,0.464
602,0.465
603,0.465
604,0.466
605,0.466
606,0.466
607,0.467
608,0.467
609,0.467
610,0.468
611,0.468
612,0.468
613,0.469
614,0.469
615,0.47
616,0.47
617,0.47
618,0.471
619,0.471
620,0.472
621,0.472
622,0.472
623,0.472
624,0.473
625,0.473
626,0.473
627,0.474
628,0.474
629,0.474
630,0.474
631,0.474
632,0.475
633,0.475
634,0.475
635,0.475
636,0.475
637,0.476
638,0.476
639,0.476
640,0.476
641,0.476
642,0.476
643,0.476
644,0.476
645,0.477
646,0.477
647,0.477
648,0.477
649,0.477
650,0.477
651,0.477
652,0.477
653,0.477
654,0.477
655,0.477
656,0.477
657,0.477
658,0.477
659,0.477
660,0.478
661,0.478
662,0.478
663,0.478
664,0.478
665,0.478
666,0.478
667,0.478
668,0.478
669,0.478
670,0.478
671,0.478
672,0.478
673,0.478
674,0.478
675,0.478
676,0.478
677,0.478
678,0.478
679,0.478
680,0.478
681,0.478
682,0.478
683,0.479
684,0.479
685,0.479
686,0.479
687,0.479
688,0.479
689,0.479
690,0.479
691,0.479
692,0.479
693,0.479
694,0.479
695,0.479
696,0.479
697,0.48
698,0.48
699,0.48
700,0.48
701,0.48
702,0.48
703,0.481
704,0.481
705,0.481
706,0.481
707,0.481
708,0.482
709,0.482
710,0.482
711,0.482
712,0.482
713,0.483
714,0.483
715,0.483
716,0.483
717,0.484
718,0.484
719,0.484
720,0.485
721,0.485
722,0.485
723,0.486
724,0.486
725,0.487
726,0.487
727,0.487
728,0.488
729,0.488
730,0.489
731,0.489
732,0.49
733,0.49
734,0.491
735,0.491
736,0.491
737,0.491
738,0.492
739,0.492
740,0.492
741,0.491
742,0.491
743,0.491
744,0.491
745,0.491
746,0.491
747,0.492
748,0.492
749,0.492
750,0.492
751,0.493
752,0.493
753,0.493
754,0.494
755,0.494
756,0.494
757,0.495
758,0.495
759,0.495
760,0.496
761,0.496
762,0.496
763,0.497
764,0.497
765,0.497
766,0.498
767,0.498
768,0.498
769,0.499
770,0.499
771,0.499
772,0.499
773,0.5
774,0.5
775,0.5
776,0.501
777,0.501
778,0.501
779,0.501
780,0.502
781,0.502
782,0.502
783,0.503
784,0.503
785,0.504
786,0.504
787,0.504
788,0.504
789,0.505
790,0.505
791,0.505
792,0.506
793,0.506
794,0.507
795,0.507
796,0.507
797,0.507
798,0.508
799,0.508
800,0.508
801,0.509
802,0.51
803,0.51
804,0.51
805,0.51
806,0.511
807,0.511
808,0.511
809,0.511
810,0.512
811,0.512
812,0.512
813,0.513
814,0.513
815,0.513
816,0.514
817,0.514
818,0.514
819,0.515
820,0.515
821,0.515
822,0.516
823,0.516
824,0.516
825,0.516
826,0.517
827,0.517
828,0.517
829,0.518
830,0.518
831,0.518
832,0.518
833,0.519
834,0.519
835,0.519
836,0.519
837,0.52
838,0.52
839,0.52
840,0.52
841,0.521
842,0.521
843,0.521
844,0.521
845,0.522
846,0.522
847,0.522
848,0.522
849,0.522
850,0.523
851,0.523
852,0.523
853,0.523
854,0.523
855,0.524
856,0.524
857,0.524
858,0.524
859,0.524
860,0.525
861,0.525
862,0.525
863,0.525
864,0.525
865,0.525
866,0.526
867,0.526
868,0.526
869,0.526
870,0.526
871,0.526
872,0.527
873,0.527
874,0.527
875,0.527
876,0.527
877,0.528
878,0.528
879,0.528
880,0.528
881,0.528
882,0.528
883,0.528
884,0.529
885,0.529
886,0.529
887,0.529
888,0.529
889,0.53
890,0.53
891,0.53
892,0.53
893,0.53
894,0.53
895,0.53
896,0.531
897,0.531
898,0.531
899,0.531
900,0.531
901,0.531
902,0.532
903,0.532
904,0.532
905,0.532
906,0.532
907,0.532
908,0.532
909,0.532
910,0.532
911,0.532
912,0.533
913,0.533
914,0.533
915,0.533
916,0.533
917,0.533
918,0.534
919,0.534
920,0.534
921,0.534
922,0.534
923,0.535
924,0.535
925,0.535
926,0.535
927,0.535
928,0.535
929,0.536
930,0.536
931,0.536
932,0.536
933,0.536
934,0.536
935,0.536
936,0.537
937,0.537
938,0.537
939,0.537
940,0.537
941,0.537
942,0.537
943,0.537
944,0.537
945,0.537
946,0.537
947,0.537
948,0.537
949,0.537
950,0.537
951,0.537
952,0.537
953,0.537
954,0.537
955,0.537
956,0.537
957,0.537
958,0.538
959,0.538
960,0.538
961,0.538
962,0.538
963,0.537
964,0.537
965,0.537
966,0.537
967,0.538
968,0.538
969,0.539
970,0.54
971,0.541
972,0.542
973,0.543
974,0.545
975,0.545
976,0.546
977,0.546
978,0.547
979,0.547
980,0.547
981,0.548
982,0.548
983,0.548
984,0.549
985,0.549
986,0.549
987,0.55
988,0.55
989,0.55
990,0.551
991,0.551
992,0.551
993,0.551
994,0.552
995,0.552
996,0.552
997,0.553
998,0.553
999,0.553
1000,0.553
1001,0.537
1002,0.537
1003,0.537
1004,0.537
1005,0.538
1006,0.538
1007,0.538
1008,0.538
1009,0.538
1010,0.539
1011,0.539
1012,0.539
1013,0.539
1014,0.539
1015,0.54
1016,0.54
1017,0.54
1018,0.54
1019,0.541
1020,0.541
1021,0.541
1022,0.541
1023,0.541
1024,0.542
1025,0.542
1026,0.542
1027,0.543
1028,0.543
1029,0.543
1030,0.544
1031,0.544
1032,0.544
1033,0.545
1034,0.545
1035,0.545
1036,0.546
1037,0.546
1038,0.546
1039,0.547
1040,0.547
1041,0.548
1042,0.548
1043,0.548
1044,0.549
1045,0.549
1046,0.55
1047,0.55
1048,0.55
1049,0.551
1050,0.551
1051,0.551
1052,0.552
1053,0.552
1054,0.552
1055,0.553
1056,0.553
1057,0.553
1058,0.553
1059,0.554
1060,0.554
1061,0.554
1062,0.554
1063,0.554
1064,0.555
1065,0.555
1066,0.555
1067,0.555
1068,0.555
1069,0.555
1070,0.555
1071,0.555
1072,0.555
1073,0.555
1074,0.555
1075,0.555
1076,0.555
1077,0.555
1078,0.555
1079,0.555
1080,0.555
1081,0.555
1082,0.555
1083,0.554
1084,0.554
1085,0.554
1086,0.554
1087,0.554
1088,0.554
1089,0.554
1090,0.554
1091,0.554
1092,0.554
1093,0.554
1094,0.554
1095,0.554
1096,0.554
1097,0.554
1098,0.554
1099,0.554
1100,0.554
1101,0.554
1102,0.555
1103,0.555
1104,0.555
1105,0.555
1106,0.555
1107,0.555
1108,0.555
1109,0.556
1110,0.556
1111,0.556
1112,0.556
1113,0.556
1114,0.557
1115,0.557
1116,0.557
1117,0.557
1118,0.558
1119,0.558
1120,0.558
1121,0.559
1122,0.559
1123,0.559
1124,0.559
1125,0.56
1126,0.56
1127,0.56
1128,0.561
1129,0.561
1130,0.562
1131,0.562
1132,0.562
1133,0.563
1134,0.563
1135,0.563
1136,0.564
1137,0.564
1138,0.564
1139,0.565
1140,0.565
1141,0.565
1142,0.566
1143,0.566
1144,0.566
1145,0.567
1146,0.567
1147,0.567
1148,0.568
1149,0.568
1150,0.568
1151,0.569
1152,0.569
1153,0.569
1154,0.57
1155,0.57
1156,0.57
1157,0.571
1158,0.571
1159,0.571
1160,0.572
1161,0.572
1162,0.572
1163,0.573
1164,0.573
1165,0.573
1166,0.574
1167,0.574
1168,0.574
1169,0.575
1170,0.575
1171,0.575
1172,0.576
1173,0.576
1174,0.576
1175,0.576
1176,0.577
1177,0.577
1178,0.577
1179,0.577
1180,0.578
1181,0.578
1182,0.578
1183,0.578
1184,0.578
1185,0.578
1186,0.579
1187,0.579
1188,0.579
1189,0.579
1190,0.579
1191,0.579
1192,0.579
1193,0.579
1194,0.579
1195,0.579
1196,0.579
1197,0.579
1198,0.58
1199,0.58
1200,0.58
1201,0.58
1202,0.579
1203,0.579
1204,0.579
1205,0.579
1206,0.579
1207,0.579
1208,0.579
1209,0.579
1210,0.579
1211,0.579
1212,0.579
1213,0.579
1214,0.579
1215,0.579
1216,0.579
1217,0.578
1218,0.578
1219,0.578
1220,0.578
1221,0.577
1222,0.577
1223,0.577
1224,0.576
1225,0.576
1226,0.575
1227,0.575
1228,0.574
1229,0.573
1230,0.573
1231,0.572
1232,0.572
1233,0.571
1234,0.571
1235,0.57
1236,0.57
1237,0.57
1238,0.57
1239,0.569
1240,0.569
1241,0.57
1242,0.57
1243,0.57
1244,0.57
1245,0.571
1246,0.571
1247,0.572
1248,0.572
1249,0.572
1250,0.573
1251,0.573
1252,0.573
1253,0.574
1254,0.574
1255,0.574
1256,0.574
1257,0.575
1258,0.575
1259,0.576
1260,0.576
1261,0.576
1262,0.577
1263,0.577
1264,0.577
1265,0.577
1266,0.578
1267,0.578
1268,0.578
1269,0.578
1270,0.578
1271,0.578
1272,0.578
1273,0.578
1274,0.578
1275,0.578
1276,0.578
1277,0.577
1278,0.577
1279,0.577
1280,0.576
1281,0.575
1282,0.575
1283,0.574
1284,0.573
1285,0.571
1286,0.57
1287,0.569
1288,0.568
1289,0.566
1290,0.565
1291,0.564
1292,0.562
1293,0.561
1294,0.56
1295,0.559
1296,0.558
1297,0.557
1298,0.556
1299,0.555
1300,0.554
1301,0.553
1302,0.552
1303,0.55
1304,0.549
1305,0.548
1306,0.547
1307,0.546
1308,0.545
1309,0.545
1310,0.544
1311,0.544
1312,0.543
1313,0.543
1314,0.542
1315,0.542
1316,0.541
1317,0.541
1318,0.54
1319,0.539
1320,0.539
1321,0.538
1322,0.537
1323,0.537
1324,0.536
1325,0.536
1326,0.535
1327,0.535
1328,0.534
1329,0.534
1330,0.534
1331,0.534
1332,0.533
1333,0.533
1334,0.533
1335,0.533
1336,0.533
1337,0.533
1338,0.533
1339,0.533
1340,0.533
1341,0.533
1342,0.533
1343,0.533
1344,0.532
1345,0.531
1346,0.53
1347,0.529
1348,0.527
1349,0.524
1350,0.522
1351,0.519
1352,0.516
1353,0.514
1354,0.511
1355,0.509
1356,0.508
1357,0.507
1358,0.506
1359,0.505
1360,0.506
1361,0.506
1362,0.506
1363,0.507
1364,0.508
1365,0.508
1366,0.509
1367,0.509
1368,0.51
1369,0.51
1370,0.509
1371,0.509
1372,0.508
1373,0.507
1374,0.505
1375,0.503
1376,0.501
1377,0.499
1378,0.496
1379,0.492
1380,0.489
1381,0.485
1382,0.481
1383,0.477
1384,0.472
1385,0.466
1386,0.46
1387,0.454
1388,0.447
1389,0.44
1390,0.433
1391,0.426
1392,0.421
1393,0.415
1394,0.411
1395,0.409
1396,0.407
1397,0.408
1398,0.408
1399,0.41
1400,0.412
1401,0.414
1402,0.416
1403,0.418
1404,0.42
1405,0.422
1406,0.422
1407,0.422
1408,0.421
1409,0.418
1410,0.415
1411,0.41
1412,0.406
1413,0.403
1414,0.403
1415,0.407
1416,0.414
1417,0.424
1418,0.438
1419,0.452
1420,0.468
1421,0.482
1422,0.495
1423,0.506
1424,0.514
1425,0.522
1426,0.526
1427,0.531
1428,0.534
1429,0.537
1430,0.54
1431,0.542
1432,0.544
1433,0.545
1434,0.547
1435,0.548
1436,0.55
1437,0.551
1438,0.552
1439,0.553
1440,0.553
1441,0.554
1442,0.555
1443,0.555
1444,0.556
1445,0.556
1446,0.556
1447,0.557
1448,0.557
1449,0.558
1450,0.558
1451,0.558
1452,0.559
1453,0.559
1454,0.56
1455,0.56
1456,0.56
1457,0.561
1458,0.561
1459,0.561
1460,0.562
1461,0.562
1462,0.562
1463,0.563
1464,0.563
1465,0.563
1466,0.563
1467,0.564
1468,0.564
1469,0.564
1470,0.565
1471,0.565
1472,0.566
1473,0.566
1474,0.566
1475,0.567
1476,0.567
1477,0.567
1478,0.568
1479,0.568
1480,0.568
1481,0.569
1482,0.569
1483,0.569
1484,0.569
1485,0.57
1486,0.57
1487,0.57
1488,0.571
1489,0.571
1490,0.571
1491,0.571
1492,0.571
1493,0.572
1494,0.572
1495,0.572
1496,0.572
1497,0.572
1498,0.572
1499,0.573
1500,0.573
1501,0.573
1502,0.573
1503,0.574
1504,0.574
1505,0.574
1506,0.574
1507,0.575
1508,0.575
1509,0.575
1510,0.575
1511,0.575
1512,0.575
1513,0.576
1514,0.576
1515,0.576
1516,0.576
1517,0.576
1518,0.576
1519,0.576
1520,0.577
1521,0.577
1522,0.577
1523,0.577
1524,0.577
1525,0.577
1526,0.577
1527,0.578
1528,0.578
1529,0.578
1530,0.578
1531,0.578
1532,0.578
1533,0.578
1534,0.578
1535,0.578
1536,0.578
1537,0.578
1538,0.578
1539,0.578
1540,0.579
1541,0.579
1542,0.579
1543,0.579
1544,0.579
1545,0.579
1546,0.579
1547,0.579
1548,0.579
1549,0.579
1550,0.579
1551,0.579
1552,0.579
1553,0.579
1554,0.579
1555,0.579
1556,0.579
1557,0.579
1558,0.58
1559,0.58
1560,0.58
1561,0.58
1562,0.58
1563,0.58
1564,0.58
1565,0.58
1566,0.58
1567,0.58
1568,0.58
1569,0.58
1570,0.58
1571,0.58
1572,0.58
1573,0.58
1574,0.58
1575,0.58
1576,0.58
1577,0.58
1578,0.58
1579,0.58
1580,0.58
1581,0.58
1582,0.581
1583,0.581
1584,0.581
1585,0.581
1586,0.581
1587,0.581
1588,0.581
1589,0.581
1590,0.581
1591,0.581
1592,0.581
1593,0.581
1594,0.581
1595,0.581
1596,0.581
1597,0.581
1598,0.581
1599,0.581
1600,0.581
1601,0.581
1602,0.581
1603,0.581
1604,0.581
1605,0.581
1606,0.581
1607,0.581
1608,0.581
1609,0.581
1610,0.581
1611,0.581
1612,0.581
1613,0.581
1614,0.581
1615,0.581
1616,0.581
1617,0.581
