#Wave		#Intensity
1219.192383	1681.230225
1218.113281	1673.383057
1217.034180	1679.332520
1215.954102	1670.778809
1214.874023	1670.692993
1213.793945	1668.861328
1212.712891	1666.199341
1211.632812	1667.070435
1210.551758	1675.964355
1209.470703	1660.011475
1208.389648	1659.833496
1207.307617	1668.801270
1206.225586	1659.900391
1205.143555	1667.402954
1204.061523	1665.945190
1202.978516	1671.236938
1201.895508	1667.557373
1200.812500	1666.240967
1199.729492	1660.421753
1198.645508	1662.051514
1197.562500	1659.080200
1196.478516	1662.183350
1195.393555	1665.951782
1194.309570	1663.637329
1193.224609	1665.638916
1192.139648	1668.394165
1191.054688	1675.726929
1189.969727	1665.052368
1188.883789	1668.102173
1187.797852	1667.609497
1186.711914	1669.586304
1185.625000	1668.589233
1184.539062	1671.006470
1183.452148	1669.780762
1182.365234	1669.661743
1181.277344	1665.071655
1180.190430	1675.030884
1179.102539	1672.969238
1178.014648	1672.356323
1176.925781	1681.591187
1175.837891	1681.775269
1174.749023	1672.017334
1173.660156	1670.528564
1172.570312	1669.257935
1171.481445	1672.755981
1170.391602	1662.738647
1169.301758	1670.085571
1168.211914	1671.648926
1167.121094	1676.836304
1166.030273	1670.217407
1164.939453	1670.180054
1163.848633	1672.600708
1162.756836	1668.687500
1161.666016	1669.431274
1160.574219	1665.540894
1159.481445	1663.565186
1158.389648	1659.853394
1157.296875	1663.549072
1156.204102	1657.591064
1155.111328	1658.692017
1154.018555	1656.719482
1152.924805	1653.678833
1151.831055	1651.919678
1150.737305	1655.431030
1149.642578	1650.906128
1148.548828	1647.389160
1147.454102	1646.241211
1146.358398	1648.868408
1145.263672	1647.746216
1144.167969	1648.969727
1143.072266	1646.528442
1141.976562	1644.005615
1140.880859	1645.991211
1139.784180	1632.412109
1138.687500	1632.555908
1137.590820	1634.748291
1136.494141	1631.813354
1135.396484	1631.277588
1134.298828	1632.624878
1133.201172	1634.274902
1132.103516	1641.971436
1131.004883	1640.281860
1129.906250	1631.607544
1128.807617	1627.238281
1127.708984	1628.650757
1126.609375	1628.362305
1125.510742	1629.573486
1124.411133	1632.894287
1123.310547	1637.024658
1122.210938	1640.973389
1121.110352	1629.070435
1120.009766	1632.316162
1118.908203	1635.950195
1117.807617	1633.926636
1116.706055	1637.830322
1115.604492	1634.541016
1114.502930	1632.682739
1113.400391	1631.194092
1112.298828	1638.142090
1111.195312	1635.664307
1110.092773	1637.339844
1108.990234	1635.815186
1107.886719	1637.182495
1106.783203	1636.620239
1105.679688	1637.004517
1104.575195	1638.764282
1103.470703	1643.008057
1102.366211	1647.909424
1101.261719	1648.183105
1100.157227	1647.209717
1099.051758	1645.577637
1097.946289	1643.792969
1096.840820	1641.860840
1095.734375	1639.847778
1094.627930	1642.281250
1093.521484	1639.396118
1092.415039	1642.563110
1091.308594	1640.321655
1090.201172	1639.299927
1089.093750	1641.827148
1087.986328	1644.837524
1086.877930	1640.772583
1085.770508	1640.917969
1084.662109	1642.555786
1083.552734	1635.050659
1082.444336	1635.395630
1081.334961	1635.801270
1080.225586	1636.827515
1079.116211	1629.538452
1078.006836	1635.017090
1076.896484	1637.639771
1075.786133	1626.271362
1074.675781	1622.742676
1073.564453	1631.628296
1072.454102	1624.034058
1071.342773	1626.406738
1070.230469	1624.917603
1069.119141	1623.088745
1068.006836	1620.808594
1066.894531	1624.702271
1065.782227	1620.077881
1064.669922	1618.804199
1063.556641	1613.492920
1062.443359	1614.006470
1061.330078	1618.231445
1060.215820	1615.336670
1059.102539	1610.983154
1057.988281	1610.234497
1056.874023	1606.385376
1055.758789	1604.766602
1054.643555	1603.543457
1053.528320	1610.355713
1052.413086	1609.830200
1051.297852	1609.891846
1050.181641	1607.752319
1049.065430	1606.969238
1047.949219	1604.107910
1046.833008	1605.707397
1045.715820	1603.549927
1044.598633	1606.877197
1043.481445	1601.147705
1042.363281	1601.760742
1041.245117	1603.166504
1040.126953	1604.329102
1039.008789	1605.102295
1037.890625	1605.587402
1036.771484	1610.507935
1035.652344	1611.147705
1034.533203	1610.243530
1033.413086	1600.811890
1032.293945	1611.325195
1031.173828	1607.447144
1030.052734	1603.716919
1028.932617	1612.509155
1027.811523	1608.320801
1026.690430	1599.989136
1025.569336	1608.433594
1024.447266	1607.631470
1023.326172	1609.728638
1022.204102	1611.613403
1021.081055	1604.371216
1019.958984	1605.501587
1018.835938	1600.843384
1017.712891	1609.580566
1016.589844	1610.899658
1015.465820	1614.032227
1014.342773	1618.328979
1013.218750	1609.317383
1012.093750	1607.882935
1010.969727	1612.504150
1009.844727	1612.881470
1008.719727	1614.628540
1007.594727	1608.758057
1006.468750	1610.379761
1005.342773	1607.075317
1004.216797	1610.641968
1003.090820	1605.313354
1001.963867	1605.129517
1000.836914	1607.180420
999.709961	1603.969971
998.583008	1601.937866
997.455078	1598.379272
996.328125	1602.862549
995.200195	1598.889526
994.071289	1598.701416
992.943359	1593.064819
991.814453	1593.943237
990.685547	1591.525635
989.555664	1597.678711
988.426758	1591.296875
987.296875	1589.640625
986.166016	1588.759521
985.036133	1585.300903
983.905273	1586.498535
982.775391	1581.383911
981.643555	1585.711670
980.512695	1578.952271
