#Wave	#Intensity
1241.645508	3773.156982
1240.570312	3769.615479
1239.496094	3782.770996
1238.420898	3763.369141
1237.345703	3761.990967
1236.269531	3753.216309
1235.194336	3769.082031
1234.118164	3754.222412
1233.041992	3773.107666
1231.964844	3748.942871
1230.888672	3749.708008
1229.811523	3759.794434
1228.734375	3753.448730
1227.657227	3767.187256
1226.579102	3761.958252
1225.500977	3771.728760
1224.422852	3755.759033
1223.344727	3756.436523
1222.266602	3747.156494
1221.187500	3744.663330
1220.108398	3737.984863
1219.029297	3735.054932
1217.949219	3744.155762
1216.870117	3739.410645
1215.790039	3739.697021
1214.709961	3745.167969
1213.628906	3759.400146
1212.548828	3745.130615
1211.467773	3740.593262
1210.386719	3742.653564
1209.304688	3752.951904
1208.223633	3747.950439
1207.141602	3749.688965
1206.059570	3742.769775
1204.977539	3739.792236
1203.894531	3738.416992
1202.811523	3756.470947
1201.728516	3751.083252
1200.645508	3759.348145
1199.561523	3783.576172
1198.478516	3778.857422
1197.394531	3773.031006
1196.309570	3762.218018
1195.225586	3765.951172
1194.140625	3767.001953
1193.055664	3760.130859
1191.970703	3778.191162
1190.885742	3783.030029
1189.799805	3801.945312
1188.713867	3779.649414
1187.627930	3800.085449
1186.541016	3804.275146
1185.455078	3808.010742
1184.368164	3807.609375
1183.281250	3793.801514
1182.193359	3797.749268
1181.106445	3808.880615
1180.018555	3815.018555
1178.930664	3810.099854
1177.841797	3818.517334
1176.753906	3815.487793
1175.665039	3826.783447
1174.576172	3835.974121
1173.487305	3834.574951
1172.397461	3843.660889
1171.307617	3832.539307
1170.217773	3826.944824
1169.127930	3839.723877
1168.037109	3843.129639
1166.947266	3847.579590
1165.856445	3848.787109
1164.764648	3843.250732
1163.673828	3859.291504
1162.582031	3846.471924
1161.490234	3828.610107
1160.398438	3840.625244
1159.305664	3841.510742
1158.213867	3839.966553
1157.121094	3838.040527
1156.027344	3842.582764
1154.934570	3860.597656
1153.840820	3846.439941
1152.747070	3830.383301
1151.653320	3829.110352
1150.559570	3826.687256
1149.464844	3827.319092
1148.370117	3832.179932
1147.275391	3849.745117
1146.180664	3850.355225
1145.084961	3844.959717
1143.989258	3836.041260
1142.893555	3829.506836
1141.797852	3840.793457
1140.701172	3841.274902
1139.604492	3838.393555
1138.507812	3821.850342
1137.411133	3820.965820
1136.313477	3825.896240
1135.215820	3833.730713
1134.118164	3844.699219
1133.020508	3831.143799
1131.921875	3821.259766
1130.823242	3831.061279
1129.724609	3826.592285
1128.625977	3836.105469
1127.526367	3838.191406
1126.426758	3832.053955
1125.327148	3859.334473
1124.227539	3860.581787
1123.127930	3851.286377
1122.027344	3847.757324
1120.926758	3849.590088
1119.825195	3850.026855
1118.724609	3848.745605
1117.623047	3862.870117
1116.521484	3862.821045
1115.419922	3860.383789
1114.317383	3859.878906
1113.214844	3867.968994
1112.112305	3880.858887
1111.009766	3876.458008
1109.907227	3877.791748
1108.803711	3887.374512
1107.700195	3889.646240
1106.596680	3882.867188
1105.492188	3876.684326
1104.387695	3879.247559
1103.283203	3889.523682
1102.178711	3889.618896
1101.074219	3893.699463
1099.968750	3904.976318
1098.863281	3904.387939
1097.757812	3891.370361
