#Wave	#Intensity
1241.842773	4485.069824
1240.768555	4484.287109
1239.693359	4492.413086
1238.618164	4471.706055
1237.542969	4466.724121
1236.467773	4463.187988
1235.391602	4471.195312
1234.316406	4464.337402
1233.240234	4488.143066
1232.163086	4457.250000
1231.086914	4461.416992
1230.009766	4472.240723
1228.932617	4468.691406
1227.855469	4485.535156
1226.777344	4475.701660
1225.700195	4482.399902
1224.622070	4462.996582
1223.543945	4468.537109
1222.464844	4455.076172
1221.385742	4454.664551
1220.307617	4448.386230
1219.227539	4457.560059
1218.148438	4459.029785
1217.068359	4455.405762
1215.989258	4460.221191
1214.908203	4458.489746
1213.828125	4475.060547
1212.747070	4465.264160
1211.666992	4460.230957
1210.585938	4466.616211
1209.503906	4470.439941
1208.422852	4463.940918
1207.340820	4478.107422
1206.258789	4464.262207
1205.176758	4467.143066
1204.093750	4467.758789
1203.010742	4477.358398
1201.927734	4481.323730
1200.844727	4486.282227
1199.761719	4507.455566
1198.677734	4516.829102
1197.593750	4504.596680
1196.509766	4493.827637
1195.424805	4493.299316
1194.340820	4504.936035
1193.255859	4491.721680
1192.170898	4519.359375
1191.084961	4520.369629
1190.000000	4539.312988
1188.914062	4527.614746
1187.828125	4542.502930
1186.741211	4548.777344
1185.655273	4551.987305
1184.568359	4550.348633
1183.481445	4545.490234
1182.393555	4546.901367
1181.306641	4552.008301
1180.218750	4565.236816
1179.130859	4560.066406
1178.042969	4566.987793
1176.954102	4573.594727
1175.865234	4579.410156
1174.776367	4586.440918
1173.687500	4594.692383
1172.597656	4601.120605
1171.508789	4591.471191
1170.418945	4586.395020
1169.328125	4598.740234
1168.238281	4602.411133
1167.147461	4626.525391
1166.056641	4607.293457
1164.965820	4606.058105
1163.874023	4623.594238
1162.783203	4603.666016
1161.691406	4592.346191
1160.599609	4608.901367
1159.506836	4604.574219
1158.415039	4603.809570
1157.322266	4610.909668
1156.228516	4611.631348
1155.135742	4635.946289
1154.041992	4620.473145
1152.948242	4604.293457
1151.854492	4608.751953
1150.760742	4595.755371
1149.666016	4592.546387
1148.571289	4604.096191
1147.476562	4624.913086
1146.381836	4622.214355
1145.286133	4627.161621
1144.191406	4603.657227
1143.094727	4608.600098
1141.999023	4624.951172
1140.903320	4616.027344
1139.806641	4625.149902
1138.709961	4610.911133
1137.612305	4603.390137
1136.515625	4610.043457
1135.417969	4614.847168
1134.320312	4612.287598
1133.222656	4611.821777
1132.124023	4602.913574
1131.025391	4604.320801
1129.926758	4613.517578
1128.828125	4619.755859
1127.728516	4625.375000
1126.629883	4622.188477
1125.530273	4649.872559
1124.429688	4648.298340
1123.330078	4654.315430
1122.229492	4641.975098
1121.128906	4648.000488
1120.028320	4654.238770
1118.926758	4636.997559
1117.826172	4658.005371
1116.724609	4656.824219
1115.622070	4653.736816
1114.520508	4663.710449
1113.417969	4677.869629
1112.315430	4684.914062
1111.212891	4688.841797
1110.110352	4691.933105
1109.006836	4692.335938
1107.903320	4701.503418
1106.799805	4697.974609
1105.695312	4696.375000
1104.591797	4700.528320
1103.487305	4707.189941
1102.381836	4705.153809
1101.277344	4716.655273
1100.171875	4724.794434
1099.066406	4721.033691
1097.960938	4718.969727
1096.855469	4737.492188
1095.749023	4732.734375
1094.642578	4746.728516
1093.536133	4742.388672
1092.429688	4733.959473
1091.322266	4731.409180
1090.214844	4768.957031
1089.107422	4753.945312
1087.999023	4753.403809
1086.891602	4737.433105
1085.783203	4751.638672
1084.674805	4746.289062
1083.565430	4773.725586
1082.457031	4754.392578
1081.347656	4737.546875
1080.237305	4753.180176
1079.127930	4739.577148
1078.017578	4738.279297
1076.908203	4757.781250
1075.796875	4753.540527
1074.686523	4749.900879
1073.575195	4745.805176
1072.463867	4752.269531
1071.352539	4744.389648
1070.241211	4745.411133
1069.128906	4747.447754
1068.016602	4742.015137
1066.904297	4732.965820
1065.791992	4737.955566
1064.678711	4739.204102
1063.565430	4741.399902
1062.452148	4738.878906
1061.338867	4743.359863
1060.224609	4753.368652
1059.110352	4764.801758
1057.996094	4744.218750
1056.881836	4727.706543
1055.766602	4757.814453
1054.651367	4735.954102
1053.536133	4736.422363
1052.419922	4745.113770
1051.304688	4743.529785
1050.188477	4726.790039
1049.072266	4744.929688
1047.955078	4747.709473
1046.838867	4749.759766
1045.721680	4757.843750
1044.604492	4749.247559
1043.486328	4752.411621
1042.369141	4753.881836
1041.250977	4776.984863
1040.131836	4774.484863
1039.013672	4787.350586
1037.894531	4805.776855
1036.775391	4781.676270
1035.656250	4797.159180
1034.537109	4793.894043
1033.416992	4812.921387
1032.296875	4819.861816
1031.176758	4818.780273
1030.056641	4818.131836
1028.935547	4821.100586
1027.814453	4846.278809
1026.693359	4829.399414
1025.571289	4850.612305
1024.450195	4849.583496
